CONTIG	START	END	GPL_STRAINS	STRAIN_COUNT
LOH_contig_3	100	1714800	JEL289	1
LOH_contig_3	208100	481500	Au.Lcaerulae98,CJB4,CLFT021,CLFT023,CLFT026,IA042,JEL261,JEL267,JEL270,JEL271,JEL274,JEL275,JEL408,JEL423,JEL427,JEL433,JEL627,L2203,MCT8,MexMkt,NCRC106979,PNP08489,TSTS75,UKTvB,X0711	25
LOH_contig_3	1431100	1811900	CJB4,JEL427,TSTS75	3
LOH_contig_3	1607600	1811900	LBAbercrom	1
LOH_contig_4	100	571000	Au.Lcaerulae98,CJB5.2,CLFT021,CLFT023,CLFT024,EV001,JEL270,JEL274,JEL275,JEL310,JEL408,JEL423,JEL427,JEL429,JEL433,JEL627,L2203,LBAbercrom,MCT8,NCRC106979	20
LOH_contig_4	100	635300	CLFT026	1
LOH_contig_4	100	795000	CJB4,JEL289,MexMkt,SRS812,TSTS75	5
LOH_contig_4	100	856400	CJB7	1
LOH_contig_4	100	1057500	JEL271,MLA1	2
LOH_contig_4	181400	320600	IA042,JEL238,JEL261,JEL267,JEL359,PNP08489,X0711	7
LOH_contig_4	1147100	1788700	JEL271	1
LOH_contig_4	1216900	1788700	CLFT021,JEL427	2
LOH_contig_4	1367200	1788700	CLFT024	1
LOH_contig_4	1444500	1788700	CJB4,JEL408,JEL423,NCRC106979,SRS812,TSTS75	6
LOH_contig_4	1641800	1788700	JEL429,MexMkt	2
LOH_contig_13	100	178700	CLFT021,CLFT023,CLFT024,JEL627	4
LOH_contig_13	100	272000	CLFT026,JEL289,LBAbercrom	3
LOH_contig_13	349300	549800	JEL289	1
LOH_contig_13	570600	676300	Au.Lcaerulae98,CJB4,CJB5.2,CJB7,CLFT021,CLFT023,CLFT024,CLFT026,EV001,IA042,JEL238,JEL261,JEL267,JEL270,JEL271,JEL274,JEL275,JEL289,JEL310,JEL359,JEL408,JEL423,JEL427,JEL429,JEL433,JEL627,L2203,LBAbercrom,MCT8,MLA1,NCRC106979,PNP08489,SRS812,TSTS75,UKTvB,X0711	36
LOH_contig_13	571500	891100	MexMkt	1
LOH_contig_13	775000	891100	JEL289	1
LOH_contig_14	100	278900	Au.Lcaerulae98,CLFT021,CLFT023,CLFT024,CLFT026,JEL270,JEL271,JEL275,JEL408,JEL433,JEL627,LBAbercrom,MCT8,MLA1,MexMkt,NCRC106979,SRS812,TSTS75	18
LOH_contig_14	100	334400	JEL238,JEL261,JEL267,JEL274,JEL423,PNP08489,UKTvB	7
LOH_contig_14	100	462400	CJB4,CJB5.2,CJB7,EV001,IA042,JEL310,JEL359,JEL427,JEL429,L2203,X0711	11
LOH_contig_14	100	844800	JEL289	1
LOH_contig_14	429100	844800	CJB4	1
LOH_contig_14	571600	844800	SRS812	1
LOH_contig_14	655300	844800	TSTS75	1
LOH_contig_5	100	191900	CLFT023,JEL427,JEL433,MexMkt,SRS812	5
LOH_contig_5	100	254600	CLFT021,JEL627	2
LOH_contig_5	100	583100	EV001	1
LOH_contig_5	100	681000	JEL429	1
LOH_contig_5	802600	1686300	CLFT026	1
LOH_contig_5	805100	1627200	JEL359	1
LOH_contig_5	858900	1686300	JEL238	1
LOH_contig_5	975300	1686300	Au.Lcaerulae98,CLFT021,CLFT023,CLFT024,EV001,JEL271,JEL274,JEL275,JEL310,JEL408,JEL423,JEL427,JEL429,JEL433,L2203,LBAbercrom,MCT8,NCRC106979	18
LOH_contig_5	1003200	1627700	JEL270	1
LOH_contig_5	1079500	1686300	CJB5.2,CJB7,MexMkt	3
LOH_contig_5	1209400	1686300	CJB4,JEL267,JEL289,MLA1,SRS812,TSTS75	6
LOH_contig_5	1435000	1623800	IA042,JEL627,PNP08489,X0711	4
LOH_contig_5	1448600	1686300	JEL261,UKTvB	2
LOH_contig_2	100	112600	MLA1	1
LOH_contig_2	100	206400	JEL627,LBAbercrom	2
LOH_contig_2	100	354000	CLFT024,CLFT026,TSTS75	3
LOH_contig_2	100	2254800	JEL289,JEL429,MexMkt,SRS812	4
LOH_contig_2	407300	1517500	L2203	1
LOH_contig_2	436800	2254800	Au.Lcaerulae98,CJB4,CJB5.2,CJB7,CLFT021,CLFT023,CLFT024,CLFT026,EV001,IA042,JEL238,JEL261,JEL267,JEL270,JEL271,JEL274,JEL275,JEL310,JEL359,JEL408,JEL423,JEL427,JEL433,JEL627,LBAbercrom,MCT8,MLA1,NCRC106979,PNP08489,TSTS75,UKTvB,X0711	32
LOH_contig_2	1528100	1938600	L2203	1
LOH_contig_2	2120200	2254800	L2203	1
